Zona;Subzona;Canton;Presunta_Subinfraccion;Fecha de Detencion;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;VARIOS;03-01-16;FLAGRANTE;HOMBRE;43;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;03-01-16;FLAGRANTE;HOMBRE;47;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;03-01-16;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 9;DMQ;QUITO;FALSIFICACION;03-01-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;04-01-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;04-01-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;04-01-16;FLAGRANTE;MUJER;23;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;04-01-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;04-01-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;04-01-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;04-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;04-01-16;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;04-01-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;04-01-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;04-01-16;FLAGRANTE;HOMBRE;42;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;04-01-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;04-01-16;FLAGRANTE;HOMBRE;26;ECUADOR
